category,product_name,podio,reviews_rating_number,reviews_amount,_source,_data_coleta,old_price,new_price,ranking_number
 Alimentos e Bebidas,Licor 43 Original Garrafa 700ml,17º MAIS VENDIDO,4.9,4908,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,189.94,132.0,17
 Bebês,Bicicleta De Equilíbrio 4 Rodas Buba Infantil Sem Pedal Cor Azul,10º MAIS VENDIDO,4.8,5317,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,180.65,17.0,10
 Beleza e Cuidado Pessoal,Spray Rapunzel Tônico Capilar 250ml Lola,9º MAIS VENDIDO,4.7,8619,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,36.99,3.62,9
 Animais,Shampoo Para Cão/gato Agener União Dr. Clean Cloresten Antifúngico Em Garrafa De 500ml,10º MAIS VENDIDO,4.9,4291,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,94.9,9.3,10
 Animais,Máquina De Tosa Profissional P/ Pets Cães Gatos Cachorro,11º MAIS VENDIDO,4.5,1617,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,51.9,5.09,11
 Acessórios para Veículos,Retrovisor Gs 650 F800 Bmw Fixo Convexa Rosca Honda Par,10º MAIS VENDIDO,4.6,11739,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,49.39,39.51,10
 Antiguidades e Coleções,Liquidificador Daily Ri2110 Branco Philips Walita 110v,10º MAIS VENDIDO,4.6,11924,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,133.67,114.95,10
 Eletrodomésticos,"Fritadeira Sem Óleo Air Fryer 3,5l Preto 1500w Af-31 Mondial 127v",3º MAIS VENDIDO,4.8,16611,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,239.9,232.7,3
 Eletrodomésticos,"Chaleira Eletrica Atacama 1,8l - Unitermi 127v",4º MAIS VENDIDO,4.8,36555,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,72.9,55.4,4
 Construção,Extensão 5 Tomadas E 4 Usb 1 Pd Led Bivolt Power 110v/220v,3º MAIS VENDIDO,4.9,6282,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,89.07,56.5,3
 Construção,Régua Extensão Elétrica 6 Tomada Filtro Linha Bivolt,4º MAIS VENDIDO,4.5,13272,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,29.49,2.89,4
 Brinquedos e Hobbies,Arminha De Bolinha De Gel Brinquedo Metralhadora Arma 2024,2º MAIS VENDIDO,4.6,226,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,169.85,109.77,2
" Casa, Móveis e Decoração",Kit Jogo Lençol Casal Elástico E Fronhas 3pçs 400 Fios Hotel,4º MAIS VENDIDO,4.5,16745,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,52.9,36.93,4
 Celulares e Telefones,Samsung Galaxy A15 Dual Sim 4g 256gb Azul Escuro 8gb Ram,2º MAIS VENDIDO,4.8,102727,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,2.098,989.9,2
 Celulares e Telefones,"Smartphone Samsung Galaxy A06 4g 128gb 4gb Ram Dual Chip Câmera Traseira 50+2mp Frontal 8mp Tela 6,7  Azul Escuro",3º MAIS VENDIDO,4.8,8626,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,899.02,648.02,3
" Eletrônicos, Áudio e Vídeo",Mini Projetor Portátil 4k Android Full Hd Smart Wi-fi Para Cinema Em Casa,1º MAIS VENDIDO,4.5,13406,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,237.23,23.0,1
" Calçados, Roupas e Bolsas",Kit 5 Camisetas Básicas Masculina Dry Fit Lisa Tradicional ,2º MAIS VENDIDO,4.3,73559,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,78.9,51.28,2
" Calçados, Roupas e Bolsas",Kit 10 Cuecas Box Boxer Estampadas Masculino Atacado Revenda,3º MAIS VENDIDO,3.2,100316,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,78.99,38.99,3
 Câmeras e Acessórios,Filme Instantâneo Fujifilm Instax Mini 40 Fotos - 705065388,1º MAIS VENDIDO,4.9,2101,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,199.2,33.2,1
 Agro,Lavadora De Alta Pressão Wap Ágil 1800 1400w 1300psi 300l/h Amarela E Preta 110v,19º MAIS VENDIDO,4.6,3737,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,643.55,399.6,19
 Agro,Lavadora De Alta Pressão Kärcher K5 Motor A Indução 2.100 Psi/libras 110v,20º MAIS VENDIDO,4.7,4704,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,1.9860000000000002,999.0,20
